Job,Education
"['Tutor Corso di Laurea in Scienze della Comunicazione (Università di Bologna)', 'Project Manager', 'Social media manager', 'Future Food Institute', 'Events manager & PR']","['International Brand Strategy and Marketing', 'Laurea triennale', ""Scienze della comunicazione e dell''informazione"", '102/110', 'Master in recitazione e tecnica cinematografica', 'Recitazione']"
"['Responsabile Comunicazione', 'Borsista di ricerca', 'Responsabile della comunicazione', 'Area comunicazione', 'Collaboratore area comunicazione']","['Laurea Magistrale  LM', 'Semiotica', '110/110 e lode', 'Master Biennale 1° Livello', 'Management Comunicazione e Nuovi Media', '105/110', 'Laurea triennale', ""Scienze della comunicazione e dell''informazione"", '109/110']"
"['Referente ufficio stampa e comunicazione', 'Marketing and Communications Specialist', 'Responsabile alla vendita', 'Tirocinante', 'Responsabile alla vendita']","['Laurea Magistrale', 'Scienze della Comunicazione Pubblica e Sociale', '105/110', 'Laurea triennale', 'Scienze della comunicazione', '96/100', 'Programma di mobilità europeo', 'Periodismo']"
['Assistente Digital Marketing'],"['Laurea in Scienze della Comunicazione', ""Scienze della comunicazione e dell''informazione""]"
"['Marketing Research', 'Web Consultant', 'Event Planner']","['Laurea Triennale', 'Scienze della Comunicazione', 'Corso di formazione', 'Social media per il marketing e la comunicazione', 'Laurea Magistrale', 'Scienze della Comunicazione Pubblica e Sociale']"
"['Switch Magazine', 'Assistente alle vendite']","['Laurea breve', 'Scienze della comunicazione', 'Diploma', 'Scienze Umane', '82/100']"
"['Customer Service Sales Assistant', 'Junior social media advertising']","['Laurea triennale', 'Scienze della comunicazione']"
"['Marketing Support', 'Communication Account', 'University of Bologna', 'Sales Assistant']","['Laurea in Scienze della Comunicazione Pubblica e Sociale', 'Università di Bologna', '100/110', 'Laurea Triennale', 'Scienze della Comunicazione', '92/110', 'Diploma di Liceo Artistico', 'Corso sperimentale in Discipline Pittoriche e Plastiche', '86/100']"
"['Content Manager', 'Educatore']","['Laurea Magistrale  LM', 'Mass media e Politica', 'Laurea triennale', 'Scienze della Comunicazione', 'Diploma di Specializzazione di 1° livello   DS1', 'Diplomi e attestati di scuola media superiore']"
"['Homina', 'Ufficio Comunicazione', 'Data Driven Marketing', 'Digital marketing, ufficio stampa', 'Organizzazione eventi']","['Laurea Magistrale  LM', ""Comunicazione pubblica e d'impresa"", '110/110 con Lode', 'Laurea Triennale in Scienze della Comunicazione', 'Classe L20- Scienze della Comunicazione', '110/110 con Lode', 'Diploma di Maturità Classica', 'Lettere/Studi umanistici', '90/100']"
"['Università di Bologna', 'Assistente Ufficio Marketing', 'Giornalista', 'Addetto Stampa e Comunicazione', 'Giornalista']","['Laurea Specialistica', 'Scienze della Comunicazione Pubblica, Sociale e Politica', 'Laurea', 'Scienze della Comunicazione']"
"['Ufficio relazioni con il pubblico', 'responsabile comunicazione', 'Responsabile comunicazione marketing']","['Laurea Magistrale  LM', ""comunicazione pubblica, d'impresa e pubblicità"", '1°\xa0livello - Laurea L', ""Scienze della comunicazione e dell''informazione""]"
"['Team comunicazione, revisione dei testi, progetti']","['Laurea Magistrale  LM', ""Pubblicità, comunicazione digitale e creatività d'impresa"", 'Università', 'Scienze della comunicazione', 'Diploma di maturità', 'Scienze umane opzione economico-sociale']"
"['Vendite', 'Responsabile della comunicazione', 'Addetto alle vendite']","['Laurea triennale', 'Scienze della comunicazione', 'Laurea', 'Filologia e lingue straniere (inglese)']"
"['Junior Account - Comunicazione scientifica', 'Giornalista scientifico', 'Giornalista scientifico', 'Giornalista scientifico', 'Stagista in ufficio comunicazione']","['Corso di perfezionamento', 'Master in Comunicazione della Scienza F. Prattico', 'Tirocinio formativo', 'Laurea Magistrale  LM', ""Scienze Cognitive della Comunicazione e dell'Azione"", '110/110 e lode']"
"['Sale Assistant', 'Studente', 'Assistant Communications Manager', 'Funzionario amministrativo', 'Apprendista comunicazione']","['Master in Design and Technology for Fashion Communication', 'Metodologie Didattiche, Psicologiche, Antropologiche e Teoria e metodi di progettazione', ""Laurea Magistrale in Scienze Criminologiche per l'Investigazione e la Sicurezza"", '108']"
"['SEO Strategist', 'Web Content Editor', 'Collaboratore esterno - Caporedattore', 'Web editor', 'Tirocinante marketing']","[""Laurea Magistrale in Scienze della comunicazione pubblica, d'impresa e di pubblicità"", 'Scienze della comunicazione pubblica e sociale', '110L', 'Scienze Politiche', 'Studi internazionali/globali', '102', 'Maturità scientifica', '92']"
"['Retail Parts Professional', 'ufficio commerciale Italia']","['Laurea breve', 'scienze politiche e relazioni internazionali']"
"['Digital Marketer', 'Post Cataloguing Specialist', 'E-commerce  Coordinator', 'Junior account executive', 'Junior Community Manager']","['Scienze della comunicazione pubblica e sociale', 'Lettere/Studi umanistici', '103/110', 'Scienze della comunicazione', 'Lettere/Studi umanistici']"
"['Specialista comunicazione Web', 'Specialista della comunicazione istituzionale', 'Specialista social media', 'Specialista audio video', 'Consulente per le comunicazioni']","['Laurea magistrale', 'Scienze della comunicazione pubblica e sociale', '105/110', 'Laurea triennale', 'Scienze della comunicazione', '97/110', 'Corso di studi', 'Comunicazione audiovisuale', 'Approvato']"
"['Marketing & Communication Manager', 'Communication Specialist & Content Editor', 'Communication Specialist', 'Account-Copywriter', 'Scrittura articoli']","[""Laurea Magistrale  in Comunicazione Pubblica e D'impresa"", '108', 'Corso Email Marketing', 'Corso Online Corporate Storytelling']"
